hilane,	हिलाने,	हिलने
maas,	मांस,	मास
suraj,	सुराज,	सूरज
wonder,	वंडर,	वंडर
bholi,	भोली,	भोली
jaat,	जात,	जात
belcha,	बेलचा,	बेलचा
niptaaraa,	निपटारा,	निपटारा
baani,	बानी,	बानी
auchity,	औचिटी,	औचित्य
brigton,	ब्रिगटन,	ब्रिगटन
matthe,	मट्ठे,	मत्थे
las,	लास,	लास्ट
jamati,	जमती,	जमाती
ladaeyon,	लादायों,	लड़ाईयों
nityaa,	नित्य,	नित्या
galgand,	गलगंद,	गलगंड
sooja,	सूजा,	सूजा
adwait,	एडवैत,	अद्वैत
padmavati,	पदमावती,	पदमावती
tuglaki,	तुगलाकी,	तुगलकी
rajasva,	रजस्व,	राजस्व
piyegaa,	पीएगा,	पिएगा
manchiy,	मांचीय,	मंचीय
billa,	बिल्ला,	बिल्ला
jamui,	जमुई,	जमुई
ravael,	रवाल,	रवैल
sapaat,	सपात,	सपाट
rectare,	रेक्टर,	रैकेटियर
haito,	हैतो,	हैतो
laegi,	लाएगी,	लाएगी
mausa,	मौसा,	मौसा
submit,	सब्मित,	सबमिट
semin,	सेमिन,	सेमिन
vanita,	वानिता,	वनिता
dhuriyaa,	धूरिया,	धुरिया
sfc,	एसएससी,	एसएफसी
avsthaen,	अवस्थाएं,	अवस्थाएं
durgun,	दुर्गुण,	दुर्गुण
paneer,	पनीर,	पनीर
oceanic,	ऑसिनिक,	ओशनिक
jivanshaili,	जीवनशीली,	जीवनशैली
jardaa,	जरदा,	जर्दा
ail,	ऐल,	ऐल
bhugol,	भूगोल,	भूगोल
nikalogi,	निकालोगी,	निकलेगी
kamaljeet,	कमलजीत,	कमलजीत
reshe,	रेशे,	रेशे
lehna,	लहना,	लहना
dhundhi,	ढुंधी,	ढूंढी
sthitiyaan,	स्थितियां,	स्थितियां
tarkwaad,	तर्कवाड,	तर्कवाद
vyapak,	व्यापक,	व्यापक
vije,	विजे,	वाइज
shumaali,	शुमाली,	शुमाली
paraadhin,	पराधीन,	पराधीन
ekattha,	इकट्ठा,	इकट्ठा
jiwan,	जीवान,	जीवन
aashriton,	आश्रितों,	आश्रितों
plane,	प्लाने,	प्लेन
shararat,	शरारत,	शरारत
refaeli,	रेफाइली,	रेफेली
dayitva,	दयित्व,	दायित्व
bhusi,	भूसी,	भूसी
neco,	नेको,	नेको
agra,	अग्र,	अग्र
hardas,	हरदास,	हरदास
wireless,	वायरलेस,	वायरलेस
dabhra,	दाभरा,	डभरा
bijak,	बीजक,	बीजक
sametti,	समेट्टी,	समेटती
samshayon,	समशायों,	संशयों
mulon,	मूलों,	मूलों
urgent,	उर्जेंट,	अर्जेंट
gunga,	गुंगा,	गूंगा
yorker,	यॉर्कर,	यॉर्कर
regional,	रिजनल,	रीजनल
libration,	लाइब्रेशन,	लिब्रेशन
tyoiharon,	त्योहारों,	त्यौहारों
ravle,	रावले,	रावले
naxalwaad,	नकललवाद,	नक्सलवाद
kankad,	कंकड़,	कंकड़
jenni,	जेनी,	जेनी
jhuthla,	झुठला,	झुठला
ethhan,	ऐंठन,	ऐठन
pendulum,	पेंडुलुम,	पेंडुलम
jurab,	जुराब,	जुराब
pravatti,	प्रवत्ति,	प्रवत्ति
emrald,	एमराल्ड,	एमरल्ड
nikaalani,	निकालनी,	निकालनी
mtech,	मटेक,	एमटेक
aagashe,	आगाशे,	आगाशे
yda,	याडीए,	यदा
nigger,	निगर,	निगर
networking,	नेटवर्किंग,	नेटवर्किग
saajan,	साजन,	साजन
dikhlaa,	दिखला,	दिखला
naxalvaaad,	नकललावद,	नक्सलवाद
sohrai,	सोहराय,	सोहराई
adhik,	अधिक,	अधीक
chhah,	छाह,	छह
aavrittiyon,	आवृत्तियों,	आवृत्तियों
chiththi,	चित्ठी,	चिट्ठी
fus,	फस,	फूस
mame,	मे,	मामे
atke,	आटके,	अटके
avirl,	एवर्ल,	अविरल
asfalt,	असफल्ट,	एस्फाल्ट
shrankhalaa,	श्रृंखला,	श्रंखला
singapore,	सिंगपोर,	सिंगापुर
canterbari,	कंटरबरी,	कैंटरबरी
khastaur,	खासतौर,	ख़ासतौर
bajrangi,	बजरंगी,	बजरंगी
nana,	नाना,	नना
sarahind,	सरहिंद,	सरहिंद
bhula,	भुला,	भूला
mathe,	माठे,	माथे
sweep,	स्वीप,	स्वीप
client,	क्लाइंट,	क्लांइट
kriyayog,	क्रियायोग,	क्रियायोग
refeli,	रेफेली,	रेफेली
daw,	डॉ,	दाव
parnel,	पर्नल,	पार्नेल
dayitvon,	दयित्वों,	दायित्वों
shaharwasiyon,	शहरवासियों,	शहरवासियों
pythagoras,	पिथागौरस,	पाइथागोरस
anurit,	अनुरित,	अनुरीत
strocks,	स्ट्रॉक्स,	स्ट्रोक्स
dhatana,	धटना,	धटना
juti,	जूटी,	जुटी
sambhalne,	संभालने,	संभालने
ulte,	उलते,	उलटे
vaimanasy,	वैमानस्य,	वैमनस्य
punter,	पंटर,	पंटर
vyagra,	व्याग्र,	व्यग्र
aawajon,	आवाजों,	आवाज़ों
sawal,	सवाल,	सवाल
piyari,	पियरी,	पियरी
atwal,	अत्वल,	अटवाल
sulaati,	सुलाती,	सुलाती
dradh,	द्राध,	दृढ़
pinta,	पिंटा,	पिंटा
pushpaa,	पुष्पा,	पुष्पा
pratigya,	प्रतिज्ञ,	प्रतिज्ञा
amit,	अमित,	अमित
patiya,	पतिया,	पटिया
taja,	ताजा,	ताजा
chhupata,	छुपता,	छुपता
pakshapat,	पक्षपत,	पक्षपात
saptakranti,	सप्तकारंति,	सप्तक्रांति
bhav,	भाव,	बहाव
dabholkar,	दभोलकर,	दाभोलकर
katthai,	कट्ठाई,	कत्थई
stan,	स्टान,	स्टैन
sakshan,	साक्षण,	सक्शन
bavra,	बावरा,	बावरा
aamdan,	आमदान,	आमदन
hupper,	हपर,	हूपर
kshetron,	क्षेत्रों,	क्षेत्रों
naram,	नाराम,	नरम
kanyaein,	कन्याएं,	कन्याएं
brocken,	ब्रॉकेन,	ब्रोकन
durdhara,	दुर्धरा,	दरदरा
baadhaon,	बाधाओं,	बाधाओं
singer,	सिंगर,	सिंगार
lidaron,	लिदरों,	लीडरों
thumri,	थुमरी,	ठुमरी
sudhargruh,	सुधारगृह,	सुधारगृह
astin,	एस्तिन,	आस्तीन
pik,	पीक,	पिक
khurapka,	खुरपका,	खुरपका
kshitij,	क्षितिज,	क्षितिज
salve,	सलवे,	साल्वे
shutting,	शटटिंग,	शुटिंग
bahavalpur,	बहवालपुर,	बहावलपुर
bandhati,	बांधती,	बंधती
naksali,	नकसाली,	नक्सली
darjano,	दर्जनों,	दर्जनों
fatehgadh,	फतेगगढ़,	फतेहगढ़
pangolin,	पंगोलिन,	पैंगोलिन
doongarpur,	दूंगरपुर,	डूंगरपुर
aviva,	अवीव,	अवीवा
najarandaaz,	नजरअंदाज,	नजरंदाज
chandrabali,	चंद्रबाली,	चंद्रबली
jwaron,	ज्वारों,	ज्वारों
anaavashyak,	अनावाश्यक,	अनावश्यक
kavvali,	काव्वाली,	कव्वाली
siddhivat,	सिद्धिवत,	सिद्धवट
funda,	फूंडा,	फंडा
anuprayogi,	अनुप्रयोगी,	अनुप्रयोगों
mol,	मोल,	मोल
achchi,	अच्छी,	अच्छी
icc,	आईसीसी,	आइसीसी
paramparikta,	परंपर्कता,	पारंपरिकता
jira,	जीरा,	जीरा
nilabh,	निलाभ,	नीलाभ
mhapauron,	महापौरों,	महापौरों
phalata,	फलता,	फलता
simatta,	सीमतता,	सिमटता
azhar,	अझार,	अजहर
pataraani,	पतरानी,	पटरानी
straws,	स्ट्रॉस,	स्ट्रास
gutta,	गुट्टा,	गुट्टा
badam,	बदम,	बदाम
sinabang,	सीनाबंग,	सिनाबंग
aadhunik,	आधुनिक,	आधुनिक
urfa,	उर्फा,	उर्फ
hariyali,	हरियाली,	हरियाली
hawalat,	हवालत,	हवालात
haaranaa,	हारना,	हारना
girjaghar,	गिरजाघर,	गिरजाघर
paarshadon,	पार्शदों,	पार्षदों
vikramjit,	विक्रमजित,	विक्रमजीत
tufail,	टूफैल,	तुफैल
transfer,	ट्रांसफर,	ट्रान्सफर
jaawar,	जावर,	जावर
dhakal,	ढकाल,	ढकाल
shamil,	शमील,	शमिल
gazipur,	गजीपुर,	गाजीपुर
fawaare,	फवारे,	फव्वारे
janaganna,	जनगान्न,	जनगणना
zee,	जी,	ज़ी
baag,	बाग,	बाग
maarvaad,	मारवाड़,	मारवाड़
anupryogon,	अनुप्रयोगों,	अनुप्रयोगों
skhalan,	स्खलन,	स्खलन
machaye,	मचाए,	मचाए
cil,	सील,	सीआईएल
julus,	जूलूस,	जूलूस
liger,	लाइजर,	लिगर
shabana,	शबना,	शबाना
handiya,	हंदीय,	हंडिया
maukon,	मौकों,	मौकों
masyendranath,	मस्येंद्रनाथ,	मत्स्येंद्रनाथ
chakshu,	चक्शु,	चक्षु
ravaley,	रावले,	रावले
sube,	सूबे,	सूबे
ishita,	इशिता,	इशिता
prtigyaa,	प्रतिज्ञा,	प्रतिज्ञा
deepsingh,	डीप्सिंह,	दीपसिंह
uplabdh,	उपलब्ध,	उपलब्ध
time,	टाइम,	टाइम
aadaan,	आदान,	आदान
made,	मादे,	मैड
ralod,	रालोद,	रालोद
sambhalane,	संभालने,	संभालने
khene,	खेने,	खेने
macbook,	मैकूक,	मैकबुक
rollers,	रॉलर्स,	रोलर्स
ratrichar,	रत्रिचार,	रात्रिचर
chheter,	छेतर,	छेत्र
babat,	बबत,	बाबत
tarch,	तर्च,	टार्च
equities,	इक्विटीज,	इक्विटीज
seem,	सीम,	सीम
kamate,	कमाते,	कमाते
aahnan,	आह्नान,	आह्नान
ikaiyon,	इकाइयों,	इकाईयों
darate,	डरते,	डराते
mahinon,	महिनों,	महीनों
jgayegaa,	जगाएगा,	जगाएगा
parishadiy,	परिशादीय,	परिषदीय
bahamaas,	बहमास,	बहामास
error,	एरर,	एरर
kaji,	काजी,	काजी
jood,	जूड,	जूड
kush,	कुश,	कुश
dastavej,	दस्तावेज़,	दस्तावेज
pashtuun,	पश्तुओं,	पश्तून
endometrial,	इंडोमेश्रियल,	एंडोमेट्रियल
janahaani,	जनहानी,	जनहानि
haldi,	हल्दी,	हल्दी
sphoorti,	स्फूर्ति,	स्फूर्ति
jassee,	जस्सी,	जस्सी
sweekarte,	स्वीकर्ट,	स्वीकारते
marvad,	मार्वाड़,	मारवाड़
songs,	सोंग्स,	सॉन्ग्स
dubhashiyon,	दुभाषियों,	दुभाषियों
rahenge,	रहेंगे,	रहेंगे
fulae,	फुलाए,	फुलाए
kabron,	कबरों,	कब्रों
pakaude,	पकौड़े,	पकौड़े
ladaai,	लड़ाई,	लड़ाई
niki,	निकी,	निकी
bhraanti,	भ्रांति,	भ्रांति
aayojak,	आयोजक,	आयोजक
kamraj,	कामराज,	कामराज
kasara,	कसरा,	कसारा
moody,	मूडी,	मूडी
corolla,	कॉरोला,	कोरोला
jobs,	जॉब्स,	जॉब्स
saira,	सैरा,	सायरा
piloton,	पिलोटों,	पायलटों
kacche,	कच्चे,	कच्चे
convention,	कंवेशन,	कनवेंशन
half,	हाफ,	हॉफ
colorado,	कलर्डो,	कोलोराडो
cbse,	सीबीस,	सीबीएसई
algavvadi,	अल्गववादी,	अलगाववादी
yojanaen,	योजनाएं,	योजनाएं
nihalaani,	निहालानी,	निहलानी
packageon,	पक्गें,	पैकेजों
picking,	पिकिंग,	पीकिंग
jatara,	जतररा,	जतरा
aavishkaar,	आविष्कार,	आविष्कार
pradhyapakon,	प्राध्यापकों,	प्राध्यापकों
karyrat,	कार्यत,	कार्यरत
divy,	डिवी,	दिव्य
aapka,	आपका,	आपका
bhagane,	भागने,	भगाने
pathshalayein,	पाठशालाएं,	पाठशालाएं
jamuai,	जमुई,	जमुई
sanyojan,	संयोजन,	संयोजन
gyatvy,	ज्ञातव्य,	ज्ञातव्य
bajaru,	बाजारू,	बाजारू
kasida,	कसीदा,	कसीदा
abbott,	अब्बोट,	एबट
nanaa,	नना,	नना
gm,	जीएम,	जीएम
saabah,	साबाह,	साबाह
sweccha,	स्वेच्छा,	स्वेच्छा
ardaas,	अरदास,	अरदास
ainthey,	ऐंठे,	ऐंठे
pachaataa,	पचाता,	पचाता
jyotiba,	ज्योतिबा,	ज्योतिबा
richual,	रिचुल,	रिचुअल
bhareeye,	भरीय,	भारीय
akhet,	अखेत,	आखेट
shbana,	शबना,	शबाना
wasting,	वास्टिंग,	वेस्टिंग
mahakne,	महकने,	महकने
muflisi,	मुफलिसी,	मुफलिसी
osaka,	ओसका,	ओसाका
jeevant,	जीवंत,	जीवंत
jamuei,	जमुई,	जमुई
amitao,	अमिताओ,	अमिताव
gic,	जीईसी,	जीआईसी
vaangchuk,	वांगुक,	वांगचुक
mod,	मोड़,	मॉड
laksar,	लक्सर,	लक्सर
devisinh,	डेविसिंह,	देवीसिंह
mahantam,	महानतम,	महानतम
thanvi,	ठानवी,	थानवी
hundiya,	हुंडिया,	हंडिया
doge,	डोग,	दोगे
chhaviyaan,	छावियां,	छवियाँ
bhraant,	भ्रांत,	भ्रांत
suction,	सक्शन,	सक्शन
anavshyak,	अनावश्यक,	अनावश्यक
asurakshit,	असुरक्षित,	असुरक्षित
sims,	सिम्स,	सिम्स
arbab,	अरबाब,	अरबाब
char,	चार,	चार
varnit,	वर्णित,	वर्णित
manjilen,	मंजीलें,	मंजिलें
soharai,	सोहराई,	सोहराई
fransisko,	फ्रैंसिको,	फ्रांसिस्को
bharakaya,	भड़काय,	भड़काया
nations,	नेशनस,	नेशंस
padega,	पडेगा,	पड़ेगा
hakikat,	हाकिकत,	हकीकत
pigmentation,	पिगमेंटेशन,	पिगमेंटेशन
jh,	झ,	झ
francisca,	फ्रेंसिस्का,	फ्रांसिस्का
borkar,	बोरकर,	बोरकर
bairakpur,	बैरकपुर,	बैरकपुर
scandinavia,	स्कैंडिनेविय,	स्कैंडिनेविया
bahuly,	बहुल्य,	बाहुल्य
puru,	पुरु,	पुरू
scaining,	स्केनिंग,	स्कैनिंग
arya,	आर्य,	आर्यो
jiya,	जिया,	जिया
theateron,	ठीतरों,	थिएटरों
yashpaal,	यशपाल,	यशपाल
sarjuga,	सरजुगा,	सरगुजा
gangajal,	गंगाजल,	गंगाजल
apriyary,	अप्रियर्य,	अपरिहार्य
vyavdhan,	व्यवधान,	व्यवधान
ghatatop,	घटटोप,	घटाटोप
dayitv,	दयित्व,	दायित्व
pitamah,	पीतामाह,	पितामह
stray,	स्ट्रय,	स्ट्रे
jaatak,	जातक,	जातक
dipsingh,	डिप्सिंह,	दीपसिंह
chausingha,	चौसिंह,	चौसिंगा
atharv,	अथर्व,	अथर्व
bulaao,	बुलाओ,	बुलाओ
gangaajal,	गंगाजल,	गंगाजल
vasearche,	वेसर्च,	वर्साचे
wadali,	वादाली,	वडाली
laingadan,	लैंगडन,	लैंगडन
lodi,	लोडी,	लोदी
maap,	माप,	माप
chlenge,	च्लेंगे,	चलेंगे
nicki,	निकी,	निकी
version,	वर्सियन,	वर्शन
squash,	स्क्वाश,	स्क्वाश
sthulata,	स्थुलता,	स्थूलता
usaki,	उसकी,	उसकी
gaanth,	गांठ,	गांठ
pushpon,	पुष्पों,	पुष्पों
bapaa,	बापा,	बापा
jvaron,	ज्वारों,	ज्वारों
dhoron,	धोरों,	धोरों
nazarandaaz,	नजरअंदाज,	नजरंदाज
bechte,	बेचते,	बेचते
tantrikaon,	तंत्रिकाओं,	तंत्रिकाओं
sultana,	सुल्ताना,	सुलताना
sudhargrih,	सुधारग्रह,	सुधारगृह
vicharakon,	विचारकों,	विचारकों
denewaali,	देनेवाली,	देनेवाली
ikvitija,	इक्वीतिजा,	इक्विटीज
yatnaon,	यतनाओं,	यातनाओं
ilaj,	इलाज,	इलाज
feeder,	फीडर,	फीडर
emil,	एमिल,	एमिल
alankaar,	अलंकार,	अलंकार
arica,	एरिका,	एरिका
purple,	पुर्पल,	पर्पल
ayodhyeanath,	अयोध्यीनथ,	अयोध्यानाथ
parosne,	परोसने,	परोसने
runners,	रनर्स,	रनर्स
drame,	ड्रेम,	ड्रामे
reasonal,	रेजनल,	रीजनल
avi,	एवी,	अवि
bharakaaya,	भड़काय,	भड़काया
shirshakon,	शिर्षकों,	शीर्षकों
nadsa,	नदसा,	नक्सल
barahsinga,	बरहसिंगा,	बारहसिंगा
prekshakon,	प्रेक्षकों,	प्रेक्षकों
ijajat,	इजजजत,	इजाजत
aparivartanshil,	अपरिवर्तशील,	अपरिवर्तनशील
dhammaa,	धम्मा,	धम्मा
ali,	एली,	अली
jaibaan,	जैबान,	जयबाण
bikherti,	बिखेरती,	बिखेरती
dadreva,	ददरेवा,	ददरेवा
dharak,	धरक,	धारक
chachaji,	चचाजी,	चाचाजी
barpaya,	बरपाया,	बरपाया
should,	शौल्ड,	शुड
route,	राउत,	रूट
scala,	स्काला,	स्काला
okalahoma,	ओकलाहोमा,	ओकलाहोमा
algavwaadi,	अल्गववादी,	अलगाववादी
stop,	स्टॉप,	स्टॉप
bhogatey,	भोगते,	भोगते
mode,	मोड़े,	मॉड
parvaa,	परवा,	परवा
kaalpi,	कालपी,	कालपी
patiyaa,	पटिया,	पटिया
soochak,	सूचक,	सूचक
vayna,	वायना,	वायना
mauritius,	मॉरीशियस,	मॉरिशस
jhilon,	झीलों,	झीलों
bharate,	भरते,	भरते
kangan,	कांगन,	कंगन
fagua,	फगुआ,	फगुआ
bhulataa,	भुलता,	भूलता
barrackpore,	बर्कापोर,	बैरकपुर
trangistor,	ट्रेंगिस्टर,	ट्रांजिस्टर
peaking,	पीकिंग,	पीकिंग
asi,	एसी,	एएसआई
juber,	जुबेर,	जुबेर
box,	बॉक्स,	बाॅक्स
jua,	जुआ,	जुए
sinha,	सिन्हा,	सिंहा
sarkaaron,	सरकारों,	सरकारों
joint,	जॉइंट,	ज्वाइंट
chanwal,	चंवाल,	चांवल
dilaye,	दिलाए,	दिलाये
baarahamaasee,	बारहमासी,	बारहमासी
dakhil,	दाखिल,	दाखिल
bhooswaami,	भूस्वामी,	भूस्वामी
ladki,	लड़की,	लड़की
bisavan,	बीसवन,	बीसवां
namkeen,	नमकीन,	नमकीन
updravon,	उपद्रवों,	उपद्रवों
mahin,	महीं,	महीन
najibabaad,	नजीबाबाद,	नजीबाबाद
tennis,	टेनिस,	टेनिस
bagli,	बगली,	बागली
mhanideshak,	महानिदेषक,	महानिदेशक
dhaatuein,	धातुएं,	धातुएं
vaadiyon,	वादियों,	वादियों
gajara,	गजरा,	गजरा
nevedya,	नेवेद्य,	नैवेद्य
jenee,	जेनी,	जेनी
dikhayi,	दिखाई,	दिखाई
jadet,	जादेत,	जड़ित
suryadev,	सूर्यदेव,	सूर्यदेव
caolan,	कॉलन,	कोलन
judae,	जुड़ाई,	जुड़ाई
pushpit,	पुष्पित,	पुष्पित
astik,	आस्तिक,	आस्तिक
bevkufana,	बेवकूफना,	बेवकूफाना
abhishap,	अभिषप,	अभिशाप
vanshavad,	वंशावद,	वंशवाद
kisanon,	किसनों,	किसानों
paheliyon,	पहेलियों,	पहेलियों
jewellers,	ज्वेलर्स,	ज्वेलर्स
nikhari,	निखारी,	निखरी
khaate,	खाते,	खाते
falibhut,	फलीभूट,	फलीभूत
joddta,	जोड़ता,	जोड़ता
badhaon,	बाधाओं,	बाधाओं
dhaatuyein,	धातुएं,	धातुएं
vividh,	विविध,	विविध
dhandon,	धंडों,	धंधों
aata,	आता,	आटा
stra,	स्त्रा,	स्ट्रे
chauda,	चौड़ा,	चौड़ा
taobao,	ताओबा,	टैबू
nun,	नून,	नून
juloos,	जूलूस,	जूलूस
vinit,	विनित,	विनीत
madhura,	मधुरा,	मढ़ौरा
rajneetikaran,	राजनीतिकरण,	राजनीतीकरण
achievement,	आचीवेमेंट,	अचीवमेंट
mejban,	मेजबन,	मेजबान
matpatron,	मत्पत्रों,	मतपत्रों
sanjivan,	संजीवन,	संजीवन
oxy,	ऑक्सी,	ऑक्सी
pujapath,	पूजापथ,	पूजापाठ
amogh,	अमोघ,	अमोघ
pehnati,	पहनती,	पहनाती
funding,	फंडिंग,	फंडिंग
kant,	कांत,	कांट
labdh,	लाब्ध,	लब्ध
khinchkar,	खींचकर,	खिंचकर
bhadakaya,	भड़काय,	भड़काया
mehman,	मेहमान,	मेहमान
haani,	हानी,	हानी
poker,	पोकर,	पोकर
sanyojanon,	संयोजनों,	संयोजनों
pierson,	पियरसन,	पियरसन
naxal,	नक्सल,	नक्सल
urwarakon,	उर्वारकों,	उर्वरकों
policy,	पॉलिसी,	पालिसी
dampattiyon,	दंपत्तियों,	दंपतियों
naivegh,	नैवेध,	नैवेद्य
mud,	मुड़,	मूड
parabola,	परबोला,	पैराबोला
bikaner,	बिकनर,	बीकानेर
vyavadhan,	व्यवधान,	व्यवधान
simate,	सीमते,	सिमटे
koot,	कूट,	कूट
nidhan,	निधान,	निधान
banthiya,	बांठीय,	बांठिया
sipaha,	सिपहा,	सिपाह
batlaye,	बतलाए,	बतलाए
samvedikaran,	संवेदीकरण,	संवेदीकरण
fund,	फूंड,	फंड
bachat,	बचात,	बचत
saraaha,	सराह,	सराहा
dulne,	डुलने,	डुलने
lendal,	लेनडल,	लेंडल
dit,	डीट,	डिट
rishte,	रिश्ते,	रिश्ते
lace,	लेस,	लैस
urvarkon,	उर्वरकों,	उर्वरकों
sandhan,	संधन,	संधान
judai,	जुडाई,	जुदाई
ulemaon,	उल्माओं,	उलेमाओं
fawaaron,	फवारों,	फव्वारों
prahaarak,	प्रहारक,	प्रहारक
eyer,	एयर,	इअर
pokar,	पोकर,	पोकर
pmo,	पीमोओ,	पीएमओ
khaein,	खाएं,	खाएं
bhaya,	भाया,	भय
padhaataa,	पढ़ाता,	पढ़ाता
saptkraanti,	सप्तकृांति,	सप्तक्रांति
ropaney,	रोपने,	रोपने
mejbani,	मेजबानी,	मेजबानी
farse,	फर्से,	फरसे
chhupkar,	छुपकर,	छुपकर
slice,	स्लाइस,	स्लाइस
chhe,	छे,	छै
mahapran,	महाप्रण,	महाप्राण
utane,	उतने,	उतने
lengdan,	लेंगडन,	लैंगडन
chimti,	चिमती,	चिमटी
ganapati,	गनपती,	गणपति
sneakers,	स्नीकर्स,	स्नीकर्स
hamaal,	हमाल,	हमाल
angkor,	एंगकोर,	अंकोर
letkar,	लेटकर,	लेटकर
gahmagahmi,	गहमागहमि,	गहमागहमी
shaasakon,	शासकों,	शासकों
peratrupers,	पेरेट्रपर्स,	पैराट्रूपर
chhagan,	छगन,	छगन
nirdharit,	निर्धारित,	निर्धारित
niveshkarta,	निवेशकर्ता,	निवेशकर्ता
putliyon,	पुतलियों,	पुतलियों
rishicool,	रिशककल,	ऋषिकुल
opel,	ओपल,	ओपेल
neg,	नेग,	नेग
melanin,	मेलानीन,	मेलानिन
mardaani,	मरदानी,	मरदानी
bhira,	भीरा,	भीरा
prashasanon,	प्रशासनों,	प्रशासनों
raubadaar,	रौबदार,	रौबदार
vastvik,	वास्त्विक,	वास्तविक
naksalwaad,	नक्सलवाद,	नक्सलवाद
paradhin,	पराधीन,	पराधीन
avarnataa,	अवर्णता,	अवर्णता
tyoihar,	त्योहार,	त्यौहार
adhiik,	अधिक,	अधीक
phatane,	फटने,	फटने
sukhti,	सूखती,	सूखती
alnkaar,	अलंकार,	अलंकार
met,	मेट,	मेट
busy,	बसी,	बिजी
two,	ट्वू,	टु
sanjay,	संजाय,	संजय
joki,	जोकी,	जोकि
hamla,	हमला,	हमला
shaakhaaen,	शाखाएं,	शाखाएं
awaazen,	आवाजें,	आवाज़ें
misha,	मिशा,	मिशा
lahalhati,	लहल्हति,	लहलहाती
tantra,	तंत्र,	तंत्र
chhaapemaar,	छापेमार,	छापेमार
dhandhany,	धांधन्य,	धनधान्य
vaan,	वान,	वाण
jadeite,	जड़ेते,	जड़ित
daka,	डका,	डाका
bosaan,	बोसान,	बोसान
economic,	इकोनॉमिक,	इकोनोमिक
mohim,	मोहिम,	मोहिम
tarabganj,	तरबागंज,	तरबगंज
dhaarak,	धारक,	धारक
hawalaat,	हवलात,	हवालात
semen,	सेमेन,	सेमिन
broke,	ब्रोक,	ब्रोक
machae,	मचाए,	मचाए
samprbhu,	संप्रभु,	संप्रभु
sarsaa,	सरसा,	सरसा
aanad,	आनाद,	आनद
rumani,	रूमानी,	रुमानी
save,	सेव,	सेव
bhadkaya,	भड़काय,	भड़काया
pushkarana,	पुष्करण,	पुष्करणा
tikon,	टीकों,	टीकों
beerganj,	बीरगंज,	बीरगंज
aapdaein,	आपदाएं,	आपदाएं
thitron,	ठित्रों,	थियेटरों
lahrai,	लहराय,	लहराई
panchang,	पांचंग,	पंचांग
sandli,	सांडली,	संदली
patachep,	पताचेप,	पटाक्षेप
sabhen,	सभें,	सभाएं
traip,	ट्रैप,	ट्रैप
mosad,	मोसाद,	मोसाद
jatatee,	जतती,	जताती
gochar,	गोचर,	गोचर
adain,	अदैन,	एडेन
ladai,	लड़ाई,	लड़ाई
purane,	पूराने,	पुराने
maid,	मैद,	मैड
mexico,	मेक्सिको,	मेक्सिको
sakra,	सक्र,	सकरा
consultant,	कंसल्टेंट,	कंसलटेंट
uzbek,	उजबेक,	उज़्बेक
holding,	होल्डिंग,	होल्डिंग
lambi,	लांबी,	लंबी
tapakti,	तपक्ती,	टपकती
kaku,	काकू,	काकू
beef,	बीफ,	बीफ
chahunor,	चाहुनोर,	चहुंओर
vidyaen,	विद्याएं,	विद्याएं
sipah,	सिपाह,	सिपाह
swaroopon,	स्वरूपों,	स्वरुपों
vikalpon,	विकलपों,	विकल्पों
rounder,	राउंडर,	राउंडर
niveshakartaa,	निवेशकर्ता,	निवेशकर्ता
besahara,	बेशहरा,	बेसहारा
punchang,	पूंचंग,	पंचांग
saturday,	सतुर्दय,	सेटरडे
nelsan,	नेल्सन,	नेल्सन
dose,	डोस,	डोज
granthiyan,	ग्रांथियां,	ग्रंथियां
theinga,	ठेंगा,	ठेंगा
updravion,	उप््रेवियन,	उपद्रवियों
mangesh,	मंगेश,	मंगेश
thakkr,	ठक्कर,	ठक्कर
mass,	मास,	मास
uniyal,	युनियाल,	उनियाल
sayra,	सयरा,	सायरा
roojwelt,	रूज़वेल्ट,	रुजवेल्ट
punjikaran,	पूंजीकरण,	पूंजीकरण
munnu,	मुन्नु,	मुन्नू
namavaliyon,	नमावलियों,	नामावलियों
maxico,	मैक्सिको,	मेक्सिको
padaraunaa,	पदारौना,	पडरौना
niya,	निया,	निया
capacitor,	कैपेस्टर,	कैपेसिटर
avisvasniya,	अविस्वस्नीय,	अविश्वसनीय
belacha,	बेलचा,	बेलचा
pailot,	पैलोट,	पायलट
matrix,	मेट्रिक्स,	मैट्रिक्स
divya,	दिव्य,	दिव्य
saja,	सजा,	साजा
patkathaayein,	पटकथाएं,	पटकथाएं
thakkar,	ठक्कर,	ठक्कर
balti,	बालती,	बाल्टी
achambha,	अचंभा,	अचंभा
peg,	पेग,	पेग
vansh,	वंश,	वंश
ranapur,	रानापुर,	रानापुर
harna,	हरना,	हारना
besin,	बेसिन,	बेसिन
phus,	फूस,	फूस
baadhit,	बाधित,	बाधित
lairi,	लैरी,	लैरी
khanikarma,	खनीकर्मा,	खनिकर्म
gaumutr,	गौमुत्र,	गौमूत्र
dum,	डुम,	डम
hong,	होंग,	हॉन्ग
amy,	एम्य,	एमी
abbott,	अब्बोट,	एबोट
asaamnjsy,	असामंजस्य,	असामंजस्य
tapti,	तप्ती,	ताप्ती
spell,	स्पेल,	स्पेल
praharak,	प्रहारक,	प्रहारक
rihanna,	रिहानना,	रिहाना
bharni,	भरनी,	भरनी
ankhon,	आंखों,	अंकों
sanchar,	सांचर,	संचार
shrungar,	शृंगर,	शृंगार
